model,method,function_name,actual_success_rate,total_runs
meta_llama_llama_4_scout_17b_16e_instruct,GA_ADAPTIVE,bmi_category,80.0,150
meta_llama_llama_4_scout_17b_16e_instruct,GA_ADAPTIVE,list_pattern,100.0,150
meta_llama_llama_4_scout_17b_16e_instruct,GA_ADAPTIVE,number_kind,100.0,90
meta_llama_llama_4_scout_17b_16e_instruct,GA_ADAPTIVE,pin_pattern,66.66666666666666,120
meta_llama_llama_4_scout_17b_16e_instruct,GA_ADAPTIVE,shipping_discount,80.0,150
meta_llama_llama_4_scout_17b_16e_instruct,GA_ADAPTIVE,sign_type,66.66666666666666,90
meta_llama_llama_4_scout_17b_16e_instruct,GA_ADAPTIVE,string_category,68.66666666666667,150
meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,80.0,150
meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,list_pattern,99.33333333333333,150
meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,number_kind,100.0,90
meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,pin_pattern,73.33333333333333,120
meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,shipping_discount,80.0,150
meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,sign_type,66.66666666666666,90
meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,string_category,70.0,150
meta_llama_llama_4_scout_17b_16e_instruct,HILL_CLIMBING,bmi_category,80.0,150
meta_llama_llama_4_scout_17b_16e_instruct,HILL_CLIMBING,list_pattern,100.0,150
meta_llama_llama_4_scout_17b_16e_instruct,HILL_CLIMBING,number_kind,100.0,90
meta_llama_llama_4_scout_17b_16e_instruct,HILL_CLIMBING,pin_pattern,49.166666666666664,120
meta_llama_llama_4_scout_17b_16e_instruct,HILL_CLIMBING,shipping_discount,80.0,150
meta_llama_llama_4_scout_17b_16e_instruct,HILL_CLIMBING,sign_type,66.66666666666666,90
meta_llama_llama_4_scout_17b_16e_instruct,HILL_CLIMBING,string_category,72.0,150
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,80.0,150
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,list_pattern,99.33333333333333,150
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,number_kind,81.11111111111111,90
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,pin_pattern,25.0,120
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,shipping_discount,80.0,150
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,sign_type,33.33333333333333,90
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,string_category,66.0,150
