bmi_category: FAILED during generation: Error code: 404 - {'error': {'message': 'The model `meta-llama/llama-4-maverick-17b-128e-instruct` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
list_pattern: FAILED during generation: Error code: 404 - {'error': {'message': 'The model `meta-llama/llama-4-maverick-17b-128e-instruct` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
number_kind: FAILED during generation: Error code: 404 - {'error': {'message': 'The model `meta-llama/llama-4-maverick-17b-128e-instruct` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
password_strength: FAILED during generation: Error code: 404 - {'error': {'message': 'The model `meta-llama/llama-4-maverick-17b-128e-instruct` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
pin_pattern: FAILED during generation: Error code: 404 - {'error': {'message': 'The model `meta-llama/llama-4-maverick-17b-128e-instruct` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
shipping_discount: FAILED during generation: Error code: 404 - {'error': {'message': 'The model `meta-llama/llama-4-maverick-17b-128e-instruct` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
sign_type: FAILED during generation: Error code: 404 - {'error': {'message': 'The model `meta-llama/llama-4-maverick-17b-128e-instruct` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
string_category: FAILED during generation: Error code: 404 - {'error': {'message': 'The model `meta-llama/llama-4-maverick-17b-128e-instruct` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
transaction_pattern: FAILED during generation: Error code: 404 - {'error': {'message': 'The model `meta-llama/llama-4-maverick-17b-128e-instruct` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
triangle_type: FAILED during generation: Error code: 404 - {'error': {'message': 'The model `meta-llama/llama-4-maverick-17b-128e-instruct` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
username_category: FAILED during generation: Error code: 404 - {'error': {'message': 'The model `meta-llama/llama-4-maverick-17b-128e-instruct` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
