method,function_name,target,run_id,found,validated,best_chromosome,best_fitness,reached_branch,generation,evaluations,runtime,actual_output,actual_validated
RANDOM,bmi_category,invalid_height,0,False,False,"[993.0294615572111, 8.399088729839077]",8.399089729839076,,0,1000,0.0008976249955594,underweight,False
RANDOM,bmi_category,invalid_height,1,False,False,"[2078.4605054333715, 7.828319933114725]",7.828320933114725,,0,1000,0.000874624995049,obese,False
RANDOM,bmi_category,invalid_height,2,False,False,"[2276.431513045696, 1.4260543567798933]",1.4260553567798933,,0,1000,0.0008781249925959,obese,False
RANDOM,bmi_category,invalid_height,3,False,False,"[239.34893439283744, 1.488576901045091]",1.488577901045091,,0,1000,0.0008735000010346,obese,False
RANDOM,bmi_category,invalid_height,4,False,False,"[2740.7842828293888, 0.6895683668849406]",0.6895693668849406,,0,1000,0.0008124580053845,obese,False
RANDOM,bmi_category,invalid_height,5,False,False,"[2579.096863350956, 3.8166972347111194]",3.81669823471112,,0,1000,0.0008129169873427,obese,False
RANDOM,bmi_category,invalid_height,6,False,False,"[439.39295075617855, 0.874188128072384]",0.874189128072384,,0,1000,0.0008112909999908,obese,False
RANDOM,bmi_category,invalid_height,7,False,False,"[551.5170342368086, 0.27586675902468993]",0.2758677590246899,,0,1000,0.0008210000087274,obese,False
RANDOM,bmi_category,invalid_height,8,False,False,"[2105.275729123387, 0.4636737988308326]",0.4636747988308325,,0,1000,0.0008104580047074,obese,False
RANDOM,bmi_category,invalid_height,9,False,False,"[2144.386919378535, 6.626837874950997]",6.626838874950997,,0,1000,0.0008240830065915,obese,False
RANDOM,bmi_category,invalid_height,10,False,False,"[804.5419107448377, 0.93210497890861]",0.93210597890861,,0,1000,0.0008194169931812,obese,False
RANDOM,bmi_category,invalid_height,11,False,False,"[1038.0099072646847, 0.7462416932271232]",0.7462426932271232,,0,1000,0.0007892909925431,obese,False
RANDOM,bmi_category,invalid_height,12,False,False,"[1739.264517469287, 1.3869806766244608]",1.3869816766244607,,0,1000,0.0007788329967297,obese,False
RANDOM,bmi_category,invalid_height,13,False,False,"[2485.125753743027, 4.619737747043939]",4.6197387470439395,,0,1000,0.0007846670050639,obese,False
RANDOM,bmi_category,invalid_height,14,False,False,"[2666.490615110154, 3.29125890237425]",3.29125990237425,,0,1000,0.0007797500002197,obese,False
RANDOM,bmi_category,invalid_height,15,False,False,"[67.12415195731137, 0.8126795072264104]",0.8126805072264104,,0,1000,0.0007827500085113,obese,False
RANDOM,bmi_category,invalid_height,16,False,False,"[2558.8397497228584, 3.1076313347864204]",3.1076323347864205,,0,1000,0.0007760000007692,obese,False
RANDOM,bmi_category,invalid_height,17,False,False,"[2031.3092585733234, 6.08566383248188]",6.08566483248188,,0,1000,0.0007804170018061,obese,False
RANDOM,bmi_category,invalid_height,18,False,False,"[2204.3010741729745, 1.1780693188581104]",1.1780703188581103,,0,1000,0.0007729999924777,obese,False
RANDOM,bmi_category,invalid_height,19,False,False,"[2020.938974827511, 7.600668584113235]",7.600669584113235,,0,1000,0.000748750011553,obese,False
RANDOM,bmi_category,invalid_height,20,False,False,"[851.5443075946027, 3.990997893443038]",3.990998893443038,,0,1000,0.0007430840050801,obese,False
RANDOM,bmi_category,invalid_height,21,False,False,"[2550.5604185316156, 1.5297564152476628]",1.5297574152476627,,0,1000,0.0007487499970011,obese,False
RANDOM,bmi_category,invalid_height,22,False,False,"[32.96979008880208, 6.415745940795525]",6.415746940795525,,0,1000,0.000736665999284,underweight,False
RANDOM,bmi_category,invalid_height,23,False,False,"[1603.1618898715503, 12.679294386285678]",12.679295386285675,,0,1000,0.0007503749948227,underweight,False
RANDOM,bmi_category,invalid_height,24,False,False,"[692.7935765560466, 0.16436385320384161]",0.1643648532038416,,0,1000,0.0007467090035788,obese,False
RANDOM,bmi_category,invalid_height,25,False,False,"[2598.2985570821365, 0.5324811542575247]",0.5324821542575248,,0,1000,0.0007448749965988,obese,False
RANDOM,bmi_category,invalid_height,26,False,False,"[42.09763017673707, 0.6419074065309172]",0.6419084065309172,,0,1000,0.000735416993848,obese,False
RANDOM,bmi_category,invalid_height,27,False,False,"[1015.5526878423874, 1.5932069342425859]",1.5932079342425858,,0,1000,0.0007137909997254,obese,False
RANDOM,bmi_category,invalid_height,28,False,False,"[1066.7936174565789, 1.6674750133994776]",1.6674760133994777,,0,1000,0.0007212500058813,obese,False
RANDOM,bmi_category,invalid_height,29,False,False,"[1821.0349261816248, 1.2858834351241466]",1.2858844351241463,,0,1000,0.0007201249973149,obese,False
RANDOM,bmi_category,normal,0,True,True,"[1446.6184274628558, 8.18747566615341]",0.0,normal,0,415,0.0003361249982845,normal,True
RANDOM,bmi_category,normal,1,True,True,"[710.850300145578, 5.659481952125511]",0.0,normal,0,923,0.0007494159945053,normal,True
RANDOM,bmi_category,normal,2,False,False,"[469.68492378209015, 7.6351698338140706]",10.443077935118266,,0,1000,0.0008135420066537,underweight,False
RANDOM,bmi_category,normal,3,False,False,"[2327.017835739762, 14.346074419206323]",7.193361294934225,,0,1000,0.0008135420066537,underweight,False
RANDOM,bmi_category,normal,4,False,False,"[2281.774714386707, 13.970665176846865]",6.809352729596182,,0,1000,0.0007979170040925,underweight,False
RANDOM,bmi_category,normal,5,False,False,"[1931.3929021358433, 11.034297750658006]",2.637150421213886,,0,1000,0.0007836250006221,underweight,False
RANDOM,bmi_category,normal,6,False,False,"[2189.105108870093, 15.05340376265407]",8.839554635105072,,0,1000,0.0007856250012991,underweight,False
RANDOM,bmi_category,normal,7,False,False,"[1226.7712815295833, 8.804064833333292]",2.6730544170661927,,0,1000,0.000788499994087,underweight,False
RANDOM,bmi_category,normal,8,False,False,"[2717.2984254346, 12.26475045774822]",0.4357522728611219,,0,1000,0.0007835830037947,underweight,False
RANDOM,bmi_category,normal,9,True,True,"[2786.724537467502, 11.117923860153534]",0.0,normal,0,33,2.7709000278264284e-05,normal,True
RANDOM,bmi_category,normal,10,False,False,"[2668.3665693955236, 14.34325378018464]",5.52969788157248,,0,1000,0.0007713340019108,underweight,False
RANDOM,bmi_category,normal,11,False,False,"[1610.337337491103, 11.65149548440203]",6.638121162161133,,0,1000,0.000764791999245,underweight,False
RANDOM,bmi_category,normal,12,False,False,"[1565.74734381229, 10.2106962814551]",3.4820401738857862,,0,1000,0.0007697499968344,underweight,False
RANDOM,bmi_category,normal,13,False,False,"[2197.101535217482, 13.176157378642639]",5.844697043227787,,0,1000,0.0007621249969815,underweight,False
RANDOM,bmi_category,normal,14,True,True,"[26.93132694963807, 1.1452661121081897]",0.0,normal,0,458,0.0003511249960865,normal,True
RANDOM,bmi_category,normal,15,False,False,"[2541.742551693868, 13.824680839814363]",5.200929165170831,,0,1000,0.0007650000043213,underweight,False
RANDOM,bmi_category,normal,16,False,False,"[2135.274587037612, 10.88622039571019]",0.4822954088729776,,0,1000,0.0007763749890727,underweight,False
RANDOM,bmi_category,normal,17,True,True,"[2869.287570422315, 11.607551973565556]",0.0,normal,0,638,0.0004867079987889,normal,True
RANDOM,bmi_category,normal,18,True,True,"[1430.8193452593673, 8.476226919495566]",0.0,normal,0,591,0.0004535000043688,normal,True
RANDOM,bmi_category,normal,19,True,True,"[335.83705482418367, 3.895139090613231]",0.0,normal,0,158,0.0001207089953823,normal,True
RANDOM,bmi_category,normal,20,True,True,"[2565.4516284838473, 10.719906749095621]",0.0,normal,0,928,0.00069841700315,normal,True
RANDOM,bmi_category,normal,21,False,False,"[1195.9771698041484, 9.995939992783143]",6.530512032650306,,0,1000,0.0007522920059273,underweight,False
RANDOM,bmi_category,normal,22,True,True,"[455.29751125137, 4.418184015852256]",0.0,normal,0,226,0.0001745829940773,normal,True
RANDOM,bmi_category,normal,23,True,True,"[1169.8296597831782, 7.626777226128256]",0.0,normal,0,19,1.6667007002979517e-05,normal,True
RANDOM,bmi_category,normal,24,True,True,"[2182.030794807928, 10.36569148829225]",0.0,normal,0,27,2.3707994841970503e-05,normal,True
RANDOM,bmi_category,normal,25,True,True,"[411.64516023008645, 4.198816678522732]",0.0,normal,0,34,3.054201079066843e-05,normal,True
RANDOM,bmi_category,normal,26,True,True,"[1458.1601739603252, 8.790482490646067]",0.0,normal,0,857,0.0006486670026788,normal,True
RANDOM,bmi_category,normal,27,False,False,"[516.480204672688, 5.709482353064788]",2.6561696511865405,,0,1000,0.000752874999307,underweight,False
RANDOM,bmi_category,normal,28,False,False,"[2878.3535499350814, 16.462088927944208]",7.878784763073772,,0,1000,0.0007475419988622,underweight,False
RANDOM,bmi_category,normal,29,False,False,"[652.0427718312959, 6.202055709021326]",1.5486327274873648,,0,1000,0.0007436250016326,underweight,False
