method,function_name,actual_success_rate,total_runs
GA_ADAPTIVE,bmi_category,100.0,150
GA_ADAPTIVE,list_pattern,100.0,150
GA_ADAPTIVE,number_kind,100.0,90
GA_ADAPTIVE,password_strength,96.66666666666667,120
GA_ADAPTIVE,pin_pattern,80.83333333333333,120
GA_ADAPTIVE,shipping_discount,80.0,150
GA_ADAPTIVE,sign_type,100.0,90
GA_ADAPTIVE,string_category,81.33333333333333,150
GA_ADAPTIVE,transaction_pattern,98.88888888888889,180
GA_ADAPTIVE,triangle_type,99.33333333333333,150
GA_ADAPTIVE,username_category,83.33333333333334,180
GA_FIXED,bmi_category,100.0,150
GA_FIXED,list_pattern,100.0,150
GA_FIXED,number_kind,100.0,90
GA_FIXED,password_strength,93.33333333333333,120
GA_FIXED,pin_pattern,99.16666666666667,120
GA_FIXED,shipping_discount,80.0,150
GA_FIXED,sign_type,100.0,90
GA_FIXED,string_category,80.66666666666666,150
GA_FIXED,transaction_pattern,100.0,180
GA_FIXED,triangle_type,100.0,150
GA_FIXED,username_category,83.33333333333334,180
HILL_CLIMBING,bmi_category,100.0,150
HILL_CLIMBING,list_pattern,100.0,150
HILL_CLIMBING,number_kind,100.0,90
HILL_CLIMBING,password_strength,100.0,120
HILL_CLIMBING,pin_pattern,52.5,120
HILL_CLIMBING,shipping_discount,80.0,150
HILL_CLIMBING,sign_type,100.0,90
HILL_CLIMBING,string_category,86.66666666666667,150
HILL_CLIMBING,transaction_pattern,100.0,180
HILL_CLIMBING,triangle_type,99.33333333333333,150
HILL_CLIMBING,username_category,83.33333333333334,180
RANDOM,bmi_category,50.66666666666667,150
RANDOM,list_pattern,100.0,150
RANDOM,number_kind,81.11111111111111,90
RANDOM,password_strength,81.66666666666667,120
RANDOM,pin_pattern,25.0,120
RANDOM,shipping_discount,80.0,150
RANDOM,sign_type,73.33333333333333,90
RANDOM,string_category,80.0,150
RANDOM,transaction_pattern,83.88888888888889,180
RANDOM,triangle_type,78.0,150
RANDOM,username_category,83.33333333333334,180
