function_name,target,success_rate,validation_rate,avg_generation,avg_evaluations,avg_runtime,avg_best_fitness,total_runs
bmi_category,invalid_height,100.0,100.0,1.3,184.0,0.0006577096569040967,0.0,30
bmi_category,normal,100.0,100.0,0.0,80.0,6.023440510034561e-05,0.0,30
bmi_category,obese,100.0,100.0,0.0,80.0,5.738114317258199e-05,0.0,30
bmi_category,overweight,100.0,100.0,0.0,80.0,6.081458802024523e-05,0.0,30
bmi_category,underweight,100.0,100.0,0.0,80.0,5.581934625903765e-05,0.0,30
grade_category,A,100.0,100.0,0.0,80.0,5.976840232809385e-05,0.0,30
grade_category,B,100.0,100.0,0.0,80.0,6.394408022363981e-05,0.0,30
grade_category,C,100.0,100.0,0.06666666666666667,85.33333333333333,9.887932489315437e-05,0.0,30
grade_category,D,100.0,100.0,0.0,80.0,7.19274083773295e-05,0.0,30
grade_category,F,100.0,100.0,0.0,80.0,7.477734858791033e-05,0.0,30
grade_category,invalid,100.0,100.0,0.0,80.0,6.400660301248232e-05,0.0,30
is_leap_year,divisible_by_100_not_400,100.0,100.0,1.3666666666666667,189.33333333333334,0.0006168421357869867,0.0,30
is_leap_year,divisible_by_400,100.0,100.0,3.0,320.0,0.0012977897499997925,0.0,30
is_leap_year,divisible_by_4_not_100,100.0,100.0,0.0,80.0,5.055926740169525e-05,0.0,30
is_leap_year,not_leap_year,100.0,100.0,0.0,80.0,4.837590580185254e-05,0.0,30
list_pattern,sorted_unique,100.0,100.0,0.0,80.0,0.000146329930673,0.0,30
list_pattern,sorted_with_duplicates,100.0,100.0,0.2,96.0,0.00027480522791539997,0.0,30
list_pattern,too_short,100.0,100.0,0.0,80.0,0.00014945141350224,0.0,30
list_pattern,unsorted_unique,100.0,100.0,0.0,80.0,0.00014737484355762667,0.0,30
list_pattern,unsorted_with_duplicates,100.0,100.0,0.0,80.0,0.00014596388985707668,0.0,30
list_score,empty,100.0,100.0,0.0,80.0,0.00011230151479437333,0.0,30
list_score,high,100.0,100.0,0.0,80.0,0.00011989331493769,0.0,30
list_score,low,100.0,100.0,0.0,80.0,0.00012009302154179332,0.0,30
list_score,medium,100.0,100.0,0.0,80.0,0.00012353214745714665,0.0,30
loan_eligibility,approve,100.0,100.0,0.0,80.0,0.00011431633805229667,0.0,30
loan_eligibility,reject_low_income,100.0,100.0,0.0,80.0,0.00011827253426109,0.0,30
loan_eligibility,reject_underage,100.0,100.0,0.0,80.0,0.00011230955521260999,0.0,30
loan_eligibility,review,100.0,100.0,0.0,80.0,0.00011787101005508666,0.0,30
max_of_three,a_is_max,100.0,100.0,0.0,80.0,9.014392271637917e-05,0.0,30
max_of_three,b_is_max,100.0,100.0,0.0,80.0,0.00010030011956888131,0.0,30
max_of_three,c_is_max,100.0,100.0,0.0,80.0,0.00010490681355193666,0.0,30
number_kind,even,100.0,100.0,0.0,80.0,4.619223376115163e-05,0.0,30
number_kind,odd,100.0,100.0,0.0,80.0,4.6106831481059395e-05,0.0,30
number_kind,zero,100.0,100.0,0.7666666666666667,141.33333333333334,0.0003626573830842823,0.0,30
password_strength,medium,100.0,100.0,0.0,80.0,0.00019827879344419002,0.0,30
password_strength,strong,100.0,100.0,0.0,80.0,0.00019714692607517,0.0,30
password_strength,weak_no_digit_upper,93.33333333333333,93.33333333333333,28.266666666666666,2874.6666666666665,0.018455391004681545,0.06666666666666667,30
password_strength,weak_short,100.0,100.0,0.0,80.0,0.00019453053052221334,0.0,30
sign_type,negative,100.0,100.0,0.0,80.0,4.0949477503697075e-05,0.0,30
sign_type,positive,100.0,100.0,0.0,80.0,4.392486686507671e-05,0.0,30
sign_type,zero,100.0,100.0,0.7666666666666667,141.33333333333334,0.0003586793318390674,0.0,30
string_category,empty,100.0,100.0,0.0,80.0,0.00015689826880887334,0.0,30
string_category,long_non_palindrome,100.0,100.0,0.0,80.0,0.00016356203705066667,0.0,30
string_category,long_palindrome,23.333333333333332,23.333333333333332,11.166666666666666,7106.666666666667,0.044098124001175125,0.7666666666666667,30
string_category,other,100.0,100.0,0.0,80.0,0.00016603941718732666,0.0,30
string_category,short_palindrome,100.0,100.0,0.0,80.0,0.00016375537961716335,0.0,30
triangle_type,equilateral,96.66666666666667,96.66666666666667,14.2,1450.6666666666667,0.009954271651804398,0.03333333333333333,30
triangle_type,invalid_side,100.0,100.0,0.0,80.0,9.953444823622303e-05,0.0,30
triangle_type,isosceles,100.0,100.0,0.43333333333333335,114.66666666666667,0.0003838225267827033,0.0,30
triangle_type,not_triangle,100.0,100.0,0.0,80.0,0.00010863241429125999,0.0,30
triangle_type,scalene,100.0,100.0,0.0,80.0,0.00012115094189837333,0.0,30
